epoch:1 train_loss:1.885 train_acc:0.30134 test_acc:0.409
epoch:2 train_loss:1.633 train_acc:0.40456 test_acc:0.473
epoch:3 train_loss:1.528 train_acc:0.44596 test_acc:0.500
epoch:4 train_loss:1.457 train_acc:0.4707 test_acc:0.505
epoch:5 train_loss:1.408 train_acc:0.49124 test_acc:0.532
epoch:6 train_loss:1.372 train_acc:0.50458 test_acc:0.536
epoch:7 train_loss:1.341 train_acc:0.51664 test_acc:0.553
epoch:8 train_loss:1.312 train_acc:0.525 test_acc:0.556
epoch:9 train_loss:1.287 train_acc:0.53722 test_acc:0.560
epoch:10 train_loss:1.266 train_acc:0.54488 test_acc:0.578
epoch:11 train_loss:1.246 train_acc:0.55284 test_acc:0.582
epoch:12 train_loss:1.231 train_acc:0.55516 test_acc:0.587
epoch:13 train_loss:1.215 train_acc:0.5646 test_acc:0.588
epoch:14 train_loss:1.193 train_acc:0.57102 test_acc:0.599
epoch:15 train_loss:1.186 train_acc:0.57164 test_acc:0.609
epoch:16 train_loss:1.171 train_acc:0.57852 test_acc:0.594
epoch:17 train_loss:1.151 train_acc:0.58624 test_acc:0.609
epoch:18 train_loss:1.143 train_acc:0.58856 test_acc:0.608
epoch:19 train_loss:1.135 train_acc:0.59176 test_acc:0.610
epoch:20 train_loss:1.121 train_acc:0.59856 test_acc:0.615
epoch:21 train_loss:1.109 train_acc:0.6029 test_acc:0.620
epoch:22 train_loss:1.095 train_acc:0.60782 test_acc:0.627
epoch:23 train_loss:1.089 train_acc:0.60942 test_acc:0.625
epoch:24 train_loss:1.072 train_acc:0.6154 test_acc:0.638
epoch:25 train_loss:1.061 train_acc:0.6183 test_acc:0.637
epoch:26 train_loss:1.055 train_acc:0.62276 test_acc:0.633
epoch:27 train_loss:1.043 train_acc:0.62614 test_acc:0.643
epoch:28 train_loss:1.041 train_acc:0.62514 test_acc:0.641
epoch:29 train_loss:1.019 train_acc:0.63578 test_acc:0.650
epoch:30 train_loss:1.014 train_acc:0.63718 test_acc:0.649
epoch:31 train_loss:1.010 train_acc:0.63734 test_acc:0.654
epoch:32 train_loss:1.002 train_acc:0.64178 test_acc:0.660
epoch:33 train_loss:0.992 train_acc:0.64344 test_acc:0.662
epoch:34 train_loss:0.988 train_acc:0.64782 test_acc:0.663
epoch:35 train_loss:0.973 train_acc:0.65094 test_acc:0.657
epoch:36 train_loss:0.974 train_acc:0.65018 test_acc:0.660
epoch:37 train_loss:0.964 train_acc:0.65454 test_acc:0.670
epoch:38 train_loss:0.961 train_acc:0.65742 test_acc:0.665
epoch:39 train_loss:0.945 train_acc:0.6618 test_acc:0.669
epoch:40 train_loss:0.940 train_acc:0.66376 test_acc:0.679
epoch:41 train_loss:0.931 train_acc:0.66746 test_acc:0.673
epoch:42 train_loss:0.923 train_acc:0.66896 test_acc:0.685
epoch:43 train_loss:0.924 train_acc:0.66952 test_acc:0.687
epoch:44 train_loss:0.910 train_acc:0.67488 test_acc:0.689
epoch:45 train_loss:0.908 train_acc:0.67502 test_acc:0.683
epoch:46 train_loss:0.901 train_acc:0.6773 test_acc:0.694
epoch:47 train_loss:0.899 train_acc:0.6798 test_acc:0.693
epoch:48 train_loss:0.898 train_acc:0.67864 test_acc:0.690
epoch:49 train_loss:0.886 train_acc:0.68252 test_acc:0.693
epoch:50 train_loss:0.886 train_acc:0.6834 test_acc:0.693
epoch:51 train_loss:0.872 train_acc:0.68762 test_acc:0.695
epoch:52 train_loss:0.868 train_acc:0.68968 test_acc:0.697
epoch:53 train_loss:0.859 train_acc:0.69334 test_acc:0.698
epoch:54 train_loss:0.858 train_acc:0.69324 test_acc:0.695
epoch:55 train_loss:0.845 train_acc:0.69756 test_acc:0.703
epoch:56 train_loss:0.845 train_acc:0.69874 test_acc:0.701
epoch:57 train_loss:0.845 train_acc:0.69938 test_acc:0.701
epoch:58 train_loss:0.837 train_acc:0.70102 test_acc:0.700
